id_renabap,nombre_barrio,cod_provincia,provincia,cod_depto,departamento,localidad,año_creacion,acceso_electricidad,acceso_cloaca,acceso_agua,cantidad_familias_estimado,geometry
1,Monterrey I,06,Buenos Aires,06638,Pilar,Presidente Derqui,1990,Conexión irregular a la red pública,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red pública de agua corriente,40,"MULTIPOLYGON (((-58.83350090114561 -34.48127677071819, -58.8338336443074 -34.48086714201079, -58.83340135686299 -34.48061107563576, -58.83345494929929 -34.48053482588479, -58.83316876541295 -34.48037148583209, -58.83281265527377 -34.48089623257505, -58.83274861043167 -34.48095311359702, -58.83268498774675 -34.48096553845355, -58.83202600039955 -34.48179499973941, -58.83282799961245 -34.48221100003759, -58.83311200011865 -34.48185499980838, -58.83259999989004 -34.48157400033979, -58.83296200039597 -34.48111900004177, -58.83343836609225 -34.48134662022009, -58.83350090114561 -34.48127677071819)))"
2,Malvinas II,06,Buenos Aires,06441,La Plata,José Melchor Romero,1997,Conexión irregular a la red pública,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red pública de agua corriente,273,"MULTIPOLYGON (((-58.01200048352921 -34.94731966989249, -58.00910856899998 -34.94466747499996, -58.00795246253093 -34.94549704090608, -58.00888242946947 -34.94636605765951, -58.00777430619394 -34.94716392119647, -58.00981630706462 -34.94899373877561, -58.01200048352921 -34.94731966989249)))"
3,Ferroviario,06,Buenos Aires,06441,La Plata,Angel Etcheverry,2003,Conexión irregular a la red pública,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal al agua corriente de red pública,133,"MULTIPOLYGON (((-58.07980353023293 -35.03507376288676, -58.0795750785506 -35.03517733466251, -58.07941721408095 -35.0353919703667, -58.09099548122174 -35.04588897647959, -58.09142875244073 -35.04569215319527, -58.09125734813201 -35.04549587237979, -58.08985559557797 -35.04422186341445, -58.08743068158706 -35.04203590847579, -58.08305837276929 -35.03803432465923, -58.07980353023293 -35.03507376288676)))"
4,La Favelita,06,Buenos Aires,06441,La Plata,Tolosa,1974,Conexión irregular a la red pública,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red pública de agua corriente,122,"MULTIPOLYGON (((-57.97991397438435 -34.90833565284606, -57.97994465023459 -34.90837711219413, -57.9808689260664 -34.90769399539372, -57.97944635462117 -34.90638914279457, -57.9777343472026 -34.9076682263222, -57.97874292107637 -34.90861246378075, -57.97936559240077 -34.90814383109303, -57.97972479115384 -34.90847631838435, -57.97991397438435 -34.90833565284606)))"
5,Casaca,06,Buenos Aires,06441,La Plata,City Bell,2002,Conexión irregular a la red pública,Desagüe sólo a pozo negro/ciego u hoyo,Sin conexión formal al agua corriente de red pública (RPPVAP),20,"MULTIPOLYGON (((-58.06297036682039 -34.90134188878328, -58.06327970049831 -34.90163741663668, -58.06334056260567 -34.90190025026426, -58.06334761934778 -34.90218629997529, -58.06319183034782 -34.90252231497531, -58.06321111544969 -34.90274252233925, -58.06308143128036 -34.9029181367948, -58.06312971531504 -34.90320130706159, -58.06476153203465 -34.90282037326674, -58.06486516985663 -34.902741388306, -58.06426469285665 -34.90113468230598, -58.06418493794997 -34.90107993788146, -58.0640776056045 -34.90108120381229, -58.06297036682039 -34.90134188878328)))"
6,La Güemes,06,Buenos Aires,06441,La Plata,Manuel B. Gonnet,1975,Conexión irregular a la red pública,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red pública de agua corriente,12,"MULTIPOLYGON (((-58.04667234399994 -34.88788029099993, -58.04682254799997 -34.88795949599995, -58.04694592999994 -34.88839072299993, -58.04718196399995 -34.88835111999998, -58.04733216799997 -34.88830711799994, -58.04726779499998 -34.88804750199995, -58.04692983599995 -34.88766027599996, -58.04661333599995 -34.88758107099994, -58.04643630999993 -34.88772187999996, -58.04651677599998 -34.88792869399998, -58.04667234399994 -34.88788029099993)))"
7,8 y 489,06,Buenos Aires,06441,La Plata,Manuel B. Gonnet,1980,Conexión formal a la red pública de energía eléctrica con medidores domiciliarios.,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red pública de agua corriente,23,"MULTIPOLYGON (((-58.01937104452868 -34.86989705199117, -58.01906383990747 -34.8694146926981, -58.01802289670688 -34.86989190554621, -58.0183236802356 -34.87036977161237, -58.01937104452868 -34.86989705199117)))"
8,La Fábrica,06,Buenos Aires,06441,La Plata,Gorina,1965,Conexión irregular a la red pública,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal al agua corriente de red pública,185,"MULTIPOLYGON (((-58.04956580564414 -34.90062149869551, -58.04811382347445 -34.90099215267743, -58.04799148566857 -34.90085061686272, -58.04794341388973 -34.90084054359496, -58.04786172309308 -34.90081231501147, -58.04773847523339 -34.90082662837452, -58.04759171583584 -34.90083955216679, -58.0476081150333 -34.90088976303461, -58.04749314142603 -34.90091158700331, -58.04754003298547 -34.90104949428373, -58.04746975106777 -34.90107104782297, -58.04749569371105 -34.90116393558534, -58.04757158021462 -34.90114413597121, -58.04774444229386 -34.9011087268354, -58.04799725244086 -34.90188713900616, -58.04804487076398 -34.90218452508918, -58.04727681923159 -34.90287228195917, -58.04723872705163 -34.90304999300739, -58.04767230204875 -34.90341102972358, -58.04878351357173 -34.90312386074469, -58.05025495534179 -34.90276192338673, -58.0498065315273 -34.901396757717, -58.04843002013374 -34.90172386396919, -58.04834460692509 -34.90144881925764, -58.04973010205861 -34.90111800160945, -58.04956580564414 -34.90062149869551)))"
10,Hijos de Malvinas,06,Buenos Aires,06441,La Plata,José Melchor Romero,2009,Conexión irregular a la red pública,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,110,"MULTIPOLYGON (((-58.01631236771963 -34.94760435932702, -58.01746692865409 -34.94677449542048, -58.01557667260739 -34.94499445237375, -58.01442363157945 -34.94583483212136, -58.01631236771963 -34.94760435932702)))"
11,514 y 138,06,Buenos Aires,06441,La Plata,José Hernández,1980,Conexión irregular a la red pública,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red pública de agua corriente,59,"MULTIPOLYGON (((-58.02582780405388 -34.91200806070267, -58.02342853899995 -34.91250048099994, -58.02298108878357 -34.91270672837845, -58.02140554975698 -34.91294006262183, -58.02044579667454 -34.91316528021674, -58.02055039464761 -34.91368839683665, -58.02085714197302 -34.91394886775657, -58.02164308586482 -34.91468004894566, -58.02350188035077 -34.91326241175698, -58.02321947112702 -34.91286876977602, -58.02589825605387 -34.91223514670266, -58.02582780405388 -34.91200806070267)))"
