BARRIO,POBLACION
AGRONOMIA,13912
ALMAGRO,131699
BALVANERA,138926
BARRACAS,89452
BELGRANO,126267
BOCA,45113
BOEDO,47306
CABALLITO,176076
CHACARITA,27761
COGHLAN,18604
COLEGIALES,52551
CONSTITUCION,44107
FLORES,164310
FLORESTA,37575
LINIERS,44132
MATADEROS,64436
MONSERRAT,39914
MONTE CASTRO,33623
NUEVA POMPEYA,42695
NUÑEZ,51949
PALERMO,226534
PARQUE AVELLANEDA,53229
PARQUE CHACABUCO,56281
PARQUE CHAS,17489
PARQUE PATRICIOS,40985
PATERNAL,19717
PUERTO MADERO,6726
RECOLETA,157932
RETIRO,65413
SAAVEDRA,50295
SAN CRISTOBAL,48611
SAN NICOLAS,29273
SAN TELMO,20453
VELEZ SARSFIELD,35081
VERSALLES,13822
VILLA CRESPO,81959
VILLA DEL PARQUE,55273
VILLA DEVOTO,66521
VILLA GRAL. MITRE,34713
VILLA LUGANO,126374
VILLA LURO,32502
VILLA ORTUZAR,21736
VILLA PUEYRREDON,39654
VILLA REAL,13419
VILLA RIACHUELO,14084
VILLA SANTA RITA,33325
VILLA SOLDATI,46779
VILLA URQUIZA,91563
