WKT,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,LIN_SENT_N,LIN_SENT_S,METROBUS,NOM_SENTID,Observac,INAUGURA,FECH_INAU
"POINT (-58.5261125180662 -34.6382666941643)","1",Liniers,FRANCISCO DE VIEDMA,,Entre Casco y Gana,"34","34",Metrobus Juan B. Justo,Liniers - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.5199726993601 -34.6330994846233)","2",Velez Sarsfield,JUSTO JUAN B.,ALVAREZ JONTE AV,JUSTO JUAN B. & ALVAREZ JONTE AV,,34 - 99 - 166 - 172,Metrobus Juan B. Justo,Velez Sarsfield - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.5141330570233 -34.6334077554962)","351",Polideportivo Velez Sarsfield,JUSTO JUAN B.,GARCIA JUAN AGUSTIN,JUSTO JUAN B. & GARCIA JUAN AGUSTIN,34 - 99 - 166 - 172,,Metrobus Juan B. Justo,Polideportivo Velez Sarsfield - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.5064021059751 -34.634258948407)","4",Cortina,JUSTO JUAN B.,CORTINA,JUSTO JUAN B. & CORTINA,,34 - 99 - 166 - 172,Metrobus Juan B. Justo,Cortina - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4950109186803 -34.6296657759947)","356",Carrasco,JUSTO JUAN B.,CARRASCO,JUSTO JUAN B. & CARRASCO,34 - 99 - 166 - 172,,Metrobus Juan B. Justo,Carrasco - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4908807883367 -34.6269064744789)","7",Av. Segurola,JUSTO JUAN B.,SEGUROLA,JUSTO JUAN B. & SEGUROLA,,34 - 166,Metrobus Juan B. Justo,Av. Segurola - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4860827112259 -34.625235257499)","358",Chivilcoy,JUSTO JUAN B.,CHIVILCOY,JUSTO JUAN B. & CHIVILCOY,34 - 166,,Metrobus Juan B. Justo,Chivilcoy - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4809346894021 -34.6222410082393)","359",Concordia,JUSTO JUAN B.,CONCORDIA,JUSTO JUAN B. & CONCORDIA,34 - 166,,Metrobus Juan B. Justo,Concordia - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4759479499995 -34.6178974824697)","10",Av. Nazca,JUSTO JUAN B.,NAZCA,JUSTO JUAN B. & NAZCA,,34 - 166,Metrobus Juan B. Justo,Av. Nazca - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4724739202085 -34.6142238004244)","361",Artigas,JUSTO JUAN B.,ARTIGAS JOSE GERVASIO GRAL,JUSTO JUAN B. & ARTIGAS JOSE GERVASIO GRAL,34 - 166,,Metrobus Juan B. Justo,Artigas - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4676820815099 -34.6111886008716)","12",Boyaca,JUSTO JUAN B.,BOYACA,JUSTO JUAN B. & BOYACA,,34 - 166,Metrobus Juan B. Justo,Boyaca - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4625307399162 -34.6072238429689)","13",Av. Donato Alvarez,JUSTO JUAN B.,ALVAREZ DONATO Tte. Gral.,JUSTO JUAN B. & ALVAREZ DONATO Tte. Gral.,,34 - 110 - 166,Metrobus Juan B. Justo,Av. Donato Alvarez - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4582450472386 -34.6043052758348)","14",Av. San Martín,JUSTO JUAN B.,SAN MARTIN AV.,JUSTO JUAN B. & SAN MARTIN AV.,,34 - 109 - 110 - 166,Metrobus Juan B. Justo,Av. San Martín - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4518332401366 -34.5999421855416)","15",Av. Honorio Pueyrredón,JUSTO JUAN B.,PUEYRREDON HONORIO DR.,JUSTO JUAN B. & PUEYRREDON HONORIO DR.,,34 - 109 - 166,Metrobus Juan B. Justo,Av. Honorio Pueyrredón - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4475604325412 -34.5969764380219)","16",Murillo,JUSTO JUAN B.,MURILLO,JUSTO JUAN B. & MURILLO,,34 - 166,Metrobus Juan B. Justo,Murillo - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4441286567592 -34.5946191072915)","17",Av. Corrientes,JUSTO JUAN B.,CORRIENTES,JUSTO JUAN B. & CORRIENTES,,34 - 166,Metrobus Juan B. Justo,Av. Corrientes - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4405637033703 -34.5921413048887)","18",Aguirre,JUSTO JUAN B.,AGUIRRE,JUSTO JUAN B. & AGUIRRE,,"166",Metrobus Juan B. Justo,Aguirre - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4346194736684 -34.5852433429708)","20",Honduras,JUSTO JUAN B.,HONDURAS,JUSTO JUAN B. & HONDURAS,,"166",Metrobus Juan B. Justo,Honduras - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4294892396623 -34.5813507260991)","21",Guatemala,JUSTO JUAN B.,GUATEMALA,JUSTO JUAN B. & GUATEMALA,,"166",Metrobus Juan B. Justo,Guatemala - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.3808470934328 -34.6190303420364)","27",Estados Unidos,AV. 9 DE JULIO,,Entre Carlos Calvo y Estados Unidos,10 - 17 - 59,59 - 10 - 17,Metrobus 9 de Julio,Estados Unidos,,Julio 2013,2013-07
"POINT (-58.3808775950804 -34.6180682046923)","28",Independencia,AV. 9 DE JULIO,,Entre Estados Unidos e Independencia,45 - 70,45 - 70,Metrobus 9 de Julio,Independencia,,Julio 2013,2013-07
"POINT (-58.3809315483153 -34.6169411461037)","29",Chile,AV. 9 DE JULIO,,Entre Independencia y Chile,9 - 91 - 100,100 - 9 - 91,Metrobus 9 de Julio,Chile,,Julio 2013,2013-07
"POINT (-58.3809760769016 -34.6158810057261)","30",México,AV. 9 DE JULIO,,Entre Chile y México,67 - 129,67 - 98 - 129,Metrobus 9 de Julio,México,,Julio 2013,2013-07
"POINT (-58.381022379303 -34.6147027445347)","31",Venezuela,AV. 9 DE JULIO,,Entre México y Venezuela,10 - 17 - 59,59 - 10 - 17,Metrobus 9 de Julio,Venezuela,,Julio 2013,2013-07
"POINT (-58.3810410237142 -34.6135950279559)","32",Belgrano,AV. 9 DE JULIO,,Entre Venezuela y Belgrano,45 - 70 - 100,100 - 45 - 70,Metrobus 9 de Julio,Belgrano,,Julio 2013,2013-07
"POINT (-58.3811643710114 -34.6111677944469)","33",Alsina,AV. 9 DE JULIO,,Entre Moreno y Alsina,"129","129",Metrobus 9 de Julio,Alsina,,Julio 2013,2013-07
"POINT (-58.3812419775334 -34.6101117766934)","34",Yrigoyen,AV. 9 DE JULIO,,Entre Alsina e Hipólito Yrigoyen,9 - 91 - 67,67 - 9 - 91,Metrobus 9 de Julio,Yrigoyen,,Julio 2013,2013-07
"POINT (-58.381379852024 -34.607789085339)","35",Mitre,AV. 9 DE JULIO,,Entre Rivadavia y Bartolomé Mitre,10 - 17 - 59,59 - 10 - 17,Metrobus 9 de Julio,Mitre,,Julio 2013,2013-07
"POINT (-58.3814463951425 -34.6066643613064)","36",Juan D. Perón,AV. 9 DE JULIO,,Entre Bartolomé Mitre y Perón,45 - 70 - 100,100 - 45 - 70,Metrobus 9 de Julio,Juan D. Perón,,Julio 2013,2013-07
"POINT (-58.3815261642882 -34.605539716381)","37",Obelisco Sur,AV. 9 DE JULIO,,Entre Juan D. Perón y Sarmiento,9 - 67 - 129,9 - 67 - 129,Metrobus 9 de Julio,Obelisco Sur,,Julio 2013,2013-07
"POINT (-58.3817450243788 -34.6018919269594)","38",Obelisco Norte,AV. 9 DE JULIO,,Entre Lavalle y Tucumán,100 - 17 - 59,59 - 100 - 17,Metrobus 9 de Julio,Obelisco Norte,,Julio 2013,2013-07
"POINT (-58.3818020847404 -34.6007796231308)","39",Teatro Colón,AV. 9 DE JULIO,,Entre Tucumán y Viamonte,45 - 70 - 10,10 - 45 - 70,Metrobus 9 de Julio,Teatro Colón,,Julio 2013,2013-07
"POINT (-58.3818480819967 -34.5996462551817)","40",Córdoba,AV. 9 DE JULIO,,Entre Viamonte y Av Córdoba,9 - 67,67 - 9,Metrobus 9 de Julio,Córdoba,,Julio 2013,2013-07
"POINT (-58.3818909436162 -34.5983729878682)","41",Paraguay,AV. 9 DE JULIO,,Entre Av Córdoba y Paraguay,10 - 17 - 59,59 - 10 - 17,Metrobus 9 de Julio,Paraguay,,Julio 2013,2013-07
"POINT (-58.381995761321 -34.5971814354511)","42",Marcelo T. de Alvear,AV. 9 DE JULIO,,Entre Paraguay y Marcelo T. de Alvear,"129","129",Metrobus 9 de Julio,Marcelo T. de Alvear,,Julio 2013,2013-07
"POINT (-58.382113578811 -34.5960109248172)","43",Santa Fe,AV. 9 DE JULIO,,Entre Marcelo T. de Alvear y Av. Santa Fe,100 - 70 - 67,100 - 70 - 67,Metrobus 9 de Julio,Santa Fe,,Julio 2013,2013-07
"POINT (-58.3811080175012 -34.6275884390089)","44",Centro de Transbordo Constitución,BRASIL AV,LIMA,BRASIL AV & LIMA,,,Centro de Transbordo Constitución,Centro de Transbordo Constitución,,Marzo 2017,2017-03
"POINT (-58.3963949672085 -34.6279896928619)","46",Pichincha,GARAY JUAN DE AV,,Entre Pasco y Pichincha,,4 - 143,Metrobus Sur - Ramal Fernández de la Cruz,Pichincha - Sentido Gral Paz,,Agosto 2013,2013-08
"POINT (-58.4007997591705 -34.6286426268271)","47",Jujuy,GARAY JUAN DE AV,,Entre jujuy y Alberti,,4 - 143,Metrobus Sur - Ramal Fernández de la Cruz,Jujuy - Sentido Gral Paz,,Agosto 2013,2013-08
"POINT (-58.4072376501087 -34.6311635665523)","48",La Rioja,CHICLANA AV,,Entre La Rioja y Gral Urquiza,,"143",Metrobus Sur - Ramal Fernández de la Cruz,La Rioja - Sentido Gral Paz,,Agosto 2013,2013-08
